Month,Year,Rainfall,Source,Location
October,2020,20.22,Rafe Boulon,North Shore - Windswept Beach
November,2020,18.75,Rafe Boulon,North Shore - Windswept Beach
December,2020,9.02,Rafe Boulon,North Shore - Windswept Beach
January,2021,2.82,Rafe Boulon,North Shore - Windswept Beach
February,2021,3.61,Rafe Boulon,North Shore - Windswept Beach
March,2021,2.64,Rafe Boulon,North Shore - Windswept Beach
April,2021,5.92,Rafe Boulon,North Shore - Windswept Beach
May,2021,5.08,Rafe Boulon,North Shore - Windswept Beach
June,2021,10.06,Rafe Boulon,North Shore - Windswept Beach
July,2021,9.63,Rafe Boulon,North Shore - Windswept Beach
August,2021,9.91,Rafe Boulon,North Shore - Windswept Beach
September,2021,11.91,Rafe Boulon,North Shore - Windswept Beach
