Month,Year,Rainfall,Source,Location
January,1984,8.1,SERCC,Cruz Bay
February,1984,7.8,SERCC,Cruz Bay
March,1984,3.96,SERCC,Cruz Bay
April,1984,3,SERCC,Cruz Bay
May,1984,4.88,SERCC,Cruz Bay
June,1984,11.81,SERCC,Cruz Bay
July,1984,5.72,SERCC,Cruz Bay
August,1984,13.18,SERCC,Cruz Bay
September,1984,11.1,SERCC,Cruz Bay
October,1984,8.28,SERCC,Cruz Bay
November,1984,40.59,SERCC,Cruz Bay
December,1984,6.63,SERCC,Cruz Bay
January,1985,2.51,SERCC,Cruz Bay
February,1985,6.05,SERCC,Cruz Bay
March,1985,5.82,SERCC,Cruz Bay
April,1985,4.75,SERCC,Cruz Bay
May,1985,10.16,SERCC,Cruz Bay
June,1985,0.08,SERCC,Cruz Bay
July,1985,4.75,SERCC,Cruz Bay
August,1985,7.32,SERCC,Cruz Bay
September,1985,7.7,SERCC,Cruz Bay
October,1985,32.21,SERCC,Cruz Bay
November,1985,9.37,SERCC,Cruz Bay
December,1985,3.94,SERCC,Cruz Bay
January,1986,4.83,SERCC,Cruz Bay
February,1986,2.06,SERCC,Cruz Bay
March,1986,2.06,SERCC,Cruz Bay
April,1986,23.52,SERCC,Cruz Bay
May,1986,30.2,SERCC,Cruz Bay
June,1986,4.72,SERCC,Cruz Bay
July,1986,8.33,SERCC,Cruz Bay
August,1986,12.01,SERCC,East End
September,1986,2.01,SERCC,Cruz Bay
October,1986,10.03,SERCC,Cruz Bay
November,1986,19.69,SERCC,Cruz Bay
December,1986,7.82,SERCC,Cruz Bay
January,1987,2.74,SERCC,Cruz Bay
February,1987,1.83,SERCC,Cruz Bay
March,1987,6.27,SERCC,Cruz Bay
April,1987,4.06,SERCC,Cruz Bay
May,1987,21.64,SERCC,Cruz Bay
June,1987,12.7,SERCC,Cruz Bay
July,1987,4.04,SERCC,Cruz Bay
August,1987,5.77,SERCC,Cruz Bay
September,1987,6.15,SERCC,Cruz Bay
October,1987,9.53,SERCC,Cruz Bay
November,1987,21.69,SERCC,Cruz Bay
December,1987,11.23,Rafe Boulon,North Shore - Windswept Beach
January,1988,8.89,SERCC,Cruz Bay
February,1988,7.11,SERCC,Cruz Bay
March,1988,2.29,SERCC,Cruz Bay
April,1988,3.99,SERCC,Cruz Bay
May,1988,4.57,SERCC,Cruz Bay
June,1988,7.21,SERCC,Cruz Bay
July,1988,12.24,SERCC,Cruz Bay
August,1988,18.97,SERCC,Cruz Bay
September,1988,21.84,SERCC,Cruz Bay
October,1988,14.02,SERCC,Cruz Bay
November,1988,12.98,Rafe Boulon,North Shore - Windswept Beach
December,1988,10.06,SERCC,Cruz Bay
January,1989,6.81,SERCC,Cruz Bay
February,1989,7.09,SERCC,Cruz Bay
March,1989,7.82,SERCC,Cruz Bay
April,1989,2.87,SERCC,East End
May,1989,6.99,SERCC,Cruz Bay
June,1989,4.85,SERCC,Cruz Bay
July,1989,8.26,SERCC,Cruz Bay
August,1989,19.99,SERCC,Cruz Bay
September,1989,40.31,SERCC,Cruz Bay
October,1989,3.48,SERCC,Cruz Bay
November,1989,4.29,SERCC,Cruz Bay
December,1989,5.08,SERCC,Cruz Bay
January,1990,11.73,SERCC,Cruz Bay
February,1990,7.98,SERCC,Cruz Bay
March,1990,3.35,SERCC,Cruz Bay
April,1990,4.42,SERCC,Cruz Bay
May,1990,3.3,SERCC,Cruz Bay
June,1990,6.81,SERCC,Cruz Bay
July,1990,5.87,SERCC,Cruz Bay
